route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,1,1,"1A DOWNTOWN",0,,1
1,1,2,"1A DOWNTOWN",0,,1
1,1,3,"1A DOWNTOWN",0,,1
1,1,4,"1A DOWNTOWN",0,,1
1,1,5,"1A DOWNTOWN",0,,1
1,1,6,"1A DOWNTOWN",0,,1
1,1,7,"1A DOWNTOWN",0,,1
1,1,8,"1A DOWNTOWN",0,,1
1,1,9,"1A DOWNTOWN",0,,1
1,1,10,"1A DOWNTOWN",0,,1
1,1,11,"1A DOWNTOWN",0,,1
1,1,12,"1A DOWNTOWN",0,,1
1,1,13,"1A DOWNTOWN",0,,1
1,1,14,"1B DOWNTOWN",0,,2
1,2,15,"1A DOWNTOWN",0,,3
1,2,16,"1A DOWNTOWN",0,,3
1,2,17,"1A DOWNTOWN",0,,3
1,2,18,"1A DOWNTOWN",0,,3
1,2,19,"1A DOWNTOWN",0,,3
1,2,20,"1A DOWNTOWN",0,,3
1,2,21,"1A DOWNTOWN",0,,3
1,2,22,"1A DOWNTOWN",0,,3
1,2,23,"1A DOWNTOWN",0,,3
1,2,24,"1A DOWNTOWN",0,,3
1,2,25,"1A DOWNTOWN",0,,3
1,2,26,"1A DOWNTOWN",0,,3
1,2,27,"1A DOWNTOWN",0,,3
1,3,28,"1A DOWNTOWN",0,,4
1,3,29,"1A DOWNTOWN",0,,4
1,3,30,"1A DOWNTOWN",0,,4
1,3,31,"1A DOWNTOWN",0,,4
1,3,32,"1A DOWNTOWN",0,,4
1,3,33,"1A DOWNTOWN",0,,4
1,3,34,"1A DOWNTOWN",0,,4
1,3,35,"1A DOWNTOWN",0,,4
1,3,36,"1A DOWNTOWN",0,,4
1,3,37,"1B DOWNTOWN",0,,5
1,3,38,"1B DOWNTOWN",0,,5
1,3,39,"1B DOWNTOWN",0,,5
1,3,40,"1B DOWNTOWN",0,,5
1,3,41,"1B DOWNTOWN",0,,5
1,3,42,"1B DOWNTOWN",0,,5
1,3,43,"1B DOWNTOWN",0,,5
1,3,44,"1B DOWNTOWN",0,,5
